iter	Passed	Remaining
0	2	248
1	4	226
2	6	226
3	8	209
4	10	207
5	13	204
6	15	201
7	17	199
8	19	197
9	21	194
10	23	193
11	26	191
12	27	185
13	28	177
14	30	170
15	31	164
16	32	159
17	33	153
18	35	149
19	36	145
20	37	142
21	38	138
22	40	134
23	41	131
24	42	127
25	43	124
26	45	121
27	46	119
28	47	116
29	48	113
30	50	111
31	51	109
32	52	107
33	53	104
34	55	102
35	56	99
36	57	97
37	58	95
38	59	93
39	60	91
40	62	89
41	62	86
42	63	84
43	64	82
44	66	80
45	67	79
46	68	77
47	69	75
48	70	73
49	72	72
50	73	70
51	74	68
52	76	67
53	77	66
54	78	64
55	80	63
56	81	61
57	82	60
58	84	58
59	85	56
60	86	55
61	87	53
62	88	52
63	89	50
64	91	49
65	92	47
66	93	46
67	94	44
68	95	43
69	97	41
70	98	40
71	99	38
72	101	37
73	102	35
74	103	34
75	104	33
76	106	31
77	107	30
78	108	28
79	110	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	119	17
87	120	16
88	121	15
89	122	13
90	124	12
91	125	10
92	126	9
93	127	8
94	128	6
95	129	5
96	130	4
97	132	2
98	133	1
99	134	0
